,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zydus Lifesciences Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: ZYDUSLIFE (MI KEY: 4810897; SPCIQ KEY: 865192),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,,,5488,4569900,6178,10079800,6387,10266,15435,4615,5367,3415,4207,4371,8453,5497,6652,3751,6578,4550,4878,3463,4130,10614,8268,8816,8552
Bank Balances Other Than Cash and Cash Equivalents,,,,,,,,,,,5465,7782,6911,1282,2763,1196,13234,2231,2706,4491,3287,853,5608,6921,5322,21300,19009,5614
Investments,,,,644,47000,1208,2217100,1991,1248,491,1779,2748,4084,2299,4820,2128,3502,1989,29865,23532,2008,6193,6124,2525,9014,48555,42860,57758
Trade Receivables,,,,11337,14439400,16303,16708000,17466,21313,22775,27470,32063,27332,39508,33856,36632,33243,31273,32323,33403,37248,44168,39152,52202,46695,40848,49627,54157
Loans,,,,,,,,,,,,,,100,113,,,,,,,4,24,15,15,771,130,37
Loans and Advances,,,,2549,3233800,,2732400,,147,,,,,,,,,,,,,,,,,,,
