,,,,,,,,,,,,
Biogen Inc. | Income Statement (As Reported),,,,,,,,,,,,
NASDAQGS: BIIB (MI KEY: 4152157; SPCIQ KEY: 29726),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,63.215,66.22,67.915,63.824999999999996,69.6,71.1709,73.0256,74.5076,82.7602,83.2392,85.5796,89.8567
Average Exchange Rate,,,,,,,,,,,,
Revenues,,,,,,,,,,,,
Product Revenues,518577.931,608462.47,666782.6785,660888.7275,757721.2799999999,809910.60782,780804.32032,35487.96988,40146.97302,,,
"Product Revenue, Net",,,,,,,,659161.2864399999,661071.92556,603209.51064,617328.4446,639725.78998
"Contract manufacturing, royalty and other revenue",,,,,,,,,,74857.01255999999,55849.246960000004,65855.97543
Alzheimers Collaboration revenue,,,,,,,,,,,5126.21804,15967.53559
Revenues from Anti-cd20 Therapeutic Programs,75567.21100000001,88681.82400000001,89274.2675,99515.94,137821.91999999998,163009.82936,144430.03168,123570.85459999999,140733.7201,140640.95231999998,149755.74204,167187.37602
Other Revenues,19248.967500000002,15634.542,21488.306,22977,40778.63999999999,50367.645930000006,56565.629759999996,,,,,
Total Revenues,613394.1095,712778.8359999999,777545.252,783381.6675,936321.8399999999,1023288.08311,981799.98176,818220.11092,841952.61868,818707.47552,828059.6516399999,888736.6770200001
Expenses,,,,,,,,,,,,
Costs of Product Revenue,-74024.765,-82139.288,-100425.91050000001,-104034.75,-126414.47999999998,-139167.57786000002,-131825.81312,-157188.68371999997,-188552.56366,-210878.18928,-197723.10784,-216033.47814
"Selling, General and Administrative",-141114.8445,-139929.482,-132203.339,-123431.1675,-146598.48,-169009.53623,-182892.6152,-199255.67468,-198922.41671999998,-212234.98823999998,-205707.68451999998,-218675.26512
Research and Development,-119691.28100000002,-133287.616,-134016.66950000002,-143836.02,-180765.11999999997,-162312.35454,-291437.86704,-186358.40911999997,-184646.28222,-203553.13968,-169473.28188,-159819.12662
Other Operating (Expenses)/income,,,,,,,,-536.45472,612.42548,,,
Collaboration Profit/loss Sharing,,,-692.7330000000001,-7167.5475,-12875.999999999998,-17194.88944,-17007.66224,,,,,
Collaboration profit sharing/(loss reimbursement),,,,,,,,,,-18212.736960000002,-21771.450240000002,-26076.41434
Amortization and Impairment of Acquired Intangible Assets,-30962.707000000002,-25335.772,-26188.024000000005,-51998.2275,-52012.079999999994,-34866.62391,-33942.29888,-65663.54788,-30281.957179999998,-20027.35152,-38228.40732,-46276.2005
Acquisition of in Process Research and Development,,,,-7658.999999999999,-7829.999999999999,,-5476.92,-1341.1368,,,,
"Acquired in-process research and development, upfront and milestone expense",,,,,,,,,,-1381.77072,-5263.1454,-42394.39106
Impairment of Rou Asset,,,,,,,,,,,,-4753.41943
Restructuring Charges,,-6184.948,-2247.9865000000004,-57.442499999999995,-835.1999999999999,-106.75635,,,-10849.862219999999,-18212.736960000002,-2584.50392,-4367.035620000001
Ciq Balancing Calc.-expenses,-6.3215,,,,,,,,,,,
Gain/loss on Fair Value Remeasurement of Contingent Consideration,2459.0635,-2019.71,-1005.1420000000002,-4001.8275,856.0799999999999,4533.58633,6302.10928,3777.53532,17305.15782,,-2370.55492,-3019.18512
Other Income/expense-net,-1630.9470000000001,-8191.414,-14853.0105,-13850.025,765.5999999999999,5928.53597,36322.93343999999,-81623.07579999999,8954.65364,-26261.9676,-29405.150560000002,-27460.207520000004
Gain on Sale of Building-net,,,,,,,,,41686.31274,,,
Gain on Sale of Rights,1062.0120000000002,,,,,,,,,,,
"Gain/loss on Divestiture of Hillerød, Denmark Manufacturing Operations",,,,,,-3935.75077,6754.8679999999995,,,,,
"Gain on sale of priority review voucher, net",,,,,,,,,,,7582.352559999999,
Tecfidera Litigation Settlement and License Charges,,,-30887.742000000002,,,,,,,,,
Earnings before Taxes,249484.31900000002,315690.606,335024.695,327345.66,410612.16,507156.71631,368596.71599999996,130030.66352,297258.08636,107944.59456,163114.7176,139861.95355
Taxes and Other Expenses,,,,,,,,,,,,
Provision for Income Tax,-62576.5285,-76921.15199999999,-84031.2295,-156926.52749999997,-99221.75999999998,-82415.9022,-72463.30287999999,-3911.649,-52370.654559999995,-11262.26376,-23431.694480000002,-23686.226120000003
"Equity in (income) Loss of Investee, Net of Tax",-954.5465,-827.75,,,,-5650.96946,387.03567999999996,2600.31524,215.17652,,,
Minority Interest (After Tax),-429.862,-3059.364,482.1965,-8361.074999999999,-3013.6799999999994,,-4374.23344,-12778.053399999999,7059.445059999999,-33.29568,,
Net Income (Loss),185523.382,234882.34,251475.66200000004,162058.0575,308376.72,419089.84465000004,292146.21536,115941.27635999999,252162.05338,96649.03511999999,139683.02312,116175.72743000001
Supplementary Info,,,,,,,,,,,,
Operating Income (Loss),251115.26600000003,323882.02,349877.70550000004,341195.685,409846.56,501228.18034,,,,,,
Basic EPS - Continuing Operations,785.1303,1018.4636,1151.8384,762.0704999999999,1505.4479999999999,2239.748223,1815.4164159999998,777.859344,1734.653792,667.5783839999999,959.3473160000001,793.434661
Diluted EPS - Continuing Operations,781.96955,1015.8148,1149.80095,760.794,1501.9679999999998,2236.189678,1811.03488,774.87904,1727.2053740000001,663.416424,956.7799279999999,789.840393
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,
