,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogen Inc. | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQGS: BIIB (MI KEY: 4152157; SPCIQ KEY: 29726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1,2026 FQ2
Period Ended,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,59.92,60.095000000000006,61.91,63.215,62.51500000000001,63.644999999999996,65.575,66.22,66.275,67.54499999999999,66.61500000000001,67.915,64.795,64.625,65.31500000000001,63.824999999999996,65.075,68.48,72.54499999999999,69.6,69.285,68.925,70.6534,71.1709,75.2998,75.5387,73.5287,73.0256,73.1601,74.3315,74.1725,74.5076,75.8898,79.0189,81.3744,82.7602,82.1208,82.06620000000001,83.0828,83.2392,83.31859999999999,83.3598,83.7825,85.5796,85.4467,85.76499999999999,88.8324,89.8567,93.766525,94.5516
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016.315779999999,7735.950310000001,10537.984799999998,15856.854319999999,,14509.304160000003,25273.78776,9697.3668,,9086.218200000001,,,,,,,,
"Product Revenue, Net",104426478.8,123572867.74000001,131086129.05999999,144572.70500000002,135801.33450000003,139929.897,156835.7275,160643.098,153055.48500000002,166565.96999999997,169175.45400000003,169984.45350000003,154218.5795,170590.6125,171288.58750000002,173118.93,164216.7625,188833.6,201682.35449999996,196668.71999999997,185683.8,198524.6775,204520.39698,208160.64832000004,218715.79908,211183.54359000002,197814.26161000002,168075.72095999998,161808.19316999998,166205.23400000003,163602.28324999998,163432.42059999998,156811.09374,162375.93761000002,159664.71024,157616.8009,144803.60664,151477.79196,149981.07056000002,152527.51008,142633.11134,158350.27608,148244.7555,156833.17496,147523.72755,161126.70549999998,164064.55956000002,149818.07591,164307.0817575,181198.68624
"Contract manufacturing, royalty and other revenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24652.66416,,,,15147.321479999999,,19404.027,11142.463919999998,25061.517110000004,20978.118999999995,13431.45888,3935.7234599999997,23150.955022500002,22919.307839999998
