,,,,,,,,,,,,
Formycon AG | Balance Sheet (As Reported),,,,,,,,,,,,
XTRA: FYB (MI KEY: 4811967; SPCIQ KEY: 84155935),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2020-01-01 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
Spot Exchange Rate,76.517581553,71.919630736,71.6932334,76.639048991,79.688573391,79.67824824,89.32795107,84.73513021699999,88.447365609,92.00751630399999,88.600890361,105.502759188
Average Exchange Rate,,,,,,,,,,,,
Current Assets,,,,,,,,,,,,
"Cash on Hand, Bank Balances with the German Federal Bank Bank Balances and Checks",22105816.82981682,44769048.12349397,214701775.05559057,345237716.57711357,584607671.9370217,1762164.13807584,3752577.89649963,2120835.574201293,868553.13028038,2487423.20327864,3706529.647362074,7263337.45629786
Securities Other Securities,683682248.9728837,1415000801.570876,786629381.8743534,841002721.9188408,396236149.3090284,,,,,,,
Trade Receivables,248862742.9646379,198272896.90325734,373441998.76275986,806184384.167741,411817817.8319745,,,,,,,
Trade and Other Receivables,,,,,,408988.44821592,621633.21149613,924799.2111883379,1266035.591327226,1068391.279322048,2099220.895323173,2021010.855005328
Contract Asset,,,,,,13624.98044904,67442.60305784999,86768.77334220799,102687.391472049,1523736.4775105438,621623.846772776,1356765.48315768
Income Tax Receivable,,,,,,,,,,12052.984635824,8062.681022850999,26270.187037812
Unfinished Products and Services,,,,32839832.492643498,80740462.55976121,,,,,,,
Advance Payments,,,27490702.238658268,,2879257.329962376,,,,,,,
Inventories,,,,,,3904.2341637600002,8039.5155963,17709.642215352997,50503.445762739,42967.510113968,23213.433274582,216702.667372152
"Raw Materials, Consumables and Supplies",26441556.27380474,16699082.349866888,17823292.70474533,11446796.86143841,13245916.748282613,,,,,,,
Prepayments and Other Assets,,,,,,12429.806725440001,33855.29345553,52196.840213671996,410041.986963324,1042905.1973058399,1960117.497456403,2307028.835163996
Other Assets,2071823.7058649112,1524635.7591133818,61946785.660925224,4289320.498899469,4300330.112186602,,,,,,,
Other Financial Assets,,,,,,18963.42308112,21260.052354659998,12710.269532549999,,552.045097824,531.605342166,105.502759188
CIQ Balancing Difference - Total Current Assets,,,,,,,,,,,-88.600890361,-105.502759188
Total Current Assets,,,,,,2220075.03071112,4504808.5724601,3215020.3106934135,2697821.5458057183,6178028.697264687,8419211.005663663,13191115.484034827
Noncurrent Assets,,,,,,,,,,,,
Right of Use (rou) Assets,,,,,,440301.99977424,562498.10788779,486125.4420549289,788596.711769844,855669.9016272,952370.9704903889,1045743.349071456
"Property, Plant and Equipment",,187432466.7847388,244430026.6933245,249478631.95579857,276750831.4254134,251305.19494896,263785.43950971,228276.44080459798,229963.1505834,278506.751852208,338544.002069381,395846.35247337597
"Land, Leasehold Rights and Buildings Including Buildings on Land Owned By Third Parties",18371456.60558328,,,,,,,,,,,
"Other Plant, Production Equipment and Office Equipment",187373304.71939334,,,,,,,,,,,
Investments Accounted for Using the Equity Method,,,,,,,,,16487119.633711254,,13455817.21912507,14264711.561531916
Investments Accounted for Using the Equity,,,,,,,,,,15369303.553485375,,
Investments,,,,19083.123198759,,,,,,,,
Investments and Participations,,,,,1272885425.2292175,1643363.86995,1842478.31876982,2001020.1000744547,,,,
Deferred Tax Assets,,,,,41414151.5913027,,,,,,,
Goodwill,93470434.33397491,76517812.32710616,64976652.828921,57379272.78431674,47101923.51708533,,,,3938914.9800312063,4097462.7310823356,,
Other Intangible Assets,,,,,,19122.779577600002,24207.87473997,61602.43966775899,43201142.81069435,46776897.31150251,39349073.02356587,43681096.38108926
"Concessions Acquired Against Payment, Commercial Rights and Similar Rights and Values as Well as Licenses to Such Rights and Values",9187523.405254874,5022157.1638468765,5971320.806697992,8383997.739514536,14001425.784230804,,,,,,,
Prepaid Expenses,,7187058.873980112,8276377.271275436,,11587350.50143839,,,,,,,
Other and Prepaid Expenses,2059384.24263184,,,,,,,,,,,
Financial Assets,,,,,,,,,8163691.8457107,8364127.284647727,5859531.283134374,5443625.865823236
CIQ Balancing Difference - Total Assets,,,,,,,,,,,88.600890361,
Prepaid Expenses and Accrued Income:: Other,,,,6335721.823637843,,,,,,,,
Total Assets,1293626292.0538464,1952425959.8562794,1805688313.8972516,2362597479.943143,3157568713.8769054,4574168.87496192,7197778.31336739,5992044.733295155,75507250.67830648,81919996.23146205,68374636.10493912,78022138.99402407
Current Liabilities,,,,,,,,,,,,
Trade Payables,173744570.0357379,46688945.54277671,165549332.99913898,135433162.156254,217612065.24293467,191387.15227248002,469954.35057927,644495.4004305019,1001047.283962662,1501470.658564976,1544933.7252247569,2726085.794658732
Accrued Expenses and Deferred Income,,541513.1060562532,,288529.158860337,,,,,,,,
Liabilities To Credit Institutions,,,,60533.35284554135,,,,,,,,
Current Lease Obligations,,,,,,66132.9460392,87898.70385288,74312.709200309,81813.813188325,109120.914336544,132546.931980056,155933.078079864
Current Income Tax Liabilities,,,,,,41432.689084800004,,,9552.315485772,5980.48855976,179682.605652108,233161.09780548
Tax Provisions,,,,,41414151.5913027,,,,,,,
Other Current Liabilities,,,,,,95613.897888,137207.73284352,163962.47696989498,3388860.813308835,4724493.954694096,1145786.714148452,2535547.811565204
Provisions,,,,,,1991.956206,,,,35606.908809648,,
Total Current Liabilities,,,,,,396558.64149048,695060.78727567,882770.5866007059,4481274.225945594,6376672.924965023,3002949.9770053728,5650727.78210928
Noncurrent Liabilities,,,,,,,,,,,,
Non-current Lease Obligations,,,,,,359109.86481768003,444942.52427967,373342.98373610195,671669.294434746,719038.7399157599,806002.299614017,852673.299757416
Deferred Income,,,404858.85833314003,,150010.55186562188,,,,,,,
Deferred Tax Liabilities,,,,,,66531.3372804,82181.7149844,,10571052.242856462,11298523.0021312,9051112.555718316,8039099.244607224
Other Liabilities,76083064.22333823,68734038.43449838,90340439.0816248,171440548.6213252,85214764.78094637,,,,,,,
Other Provisions,40571354.09744696,47747083.24747672,51621207.151768595,97744370.13643552,164342462.10141984,,,,,,,
Other Non-current Liabilities,,,,,,,,,28244693.28621245,17268890.73509776,14594870.265606085,21369689.37628859
Shareholders' Equity,,,,,,,,,,,,
Common Stock - Par Value,660092919.9843787,653001694.9894779,652379961.7263402,716104007.8317022,750873790.6997569,796782.4824,982607.4617699999,937594.2158511049,1338120.194298561,1476996.6592281119,1565046.127336704,1864550.263129524
Net Loss,65829941.673859976,41534890.65294524,-291514070.21478736,-121195736.72674493,,,,,,,,
Accumulated Loss Carry forward,,,,,,-1429427.7734256,-1602543.4421958,-2090330.9273231728,-3357461.99851764,,,
Period Income (loss),-1118951989.787218,-989839815.6741431,-945319735.7683697,-1322157784.7047997,-935107115.9932135,,-601087.7827500299,-1126129.8805839298,3183397.582999128,6973709.698261679,-11134651.093447592,-6825606.508426848
Accumulated Profit/Loss Carry forward,,,,,,,,,,-181070.79208627198,6541315.134462269,-5469579.544583484
