,2023 2022,
Beneficio antes de impuestos,220.408 257.967 (55.102) (64.492) (31) 50,
Impuesto calculado al tipo impositivo nacional del 25%,,
Resultados de negocios conjuntos,,
Movimiento de bases imponibles negativas activadas,288,—
Ajuste gasto IS ejercicios anteriores,659 442 (372) 837 (221) (267) 4.923 6.931 (23) (942),
Gastos no deducibles a efectos fiscales,,
Diferencia impositiva en resultados de dependientes,,
Deducciones de I+D aplicadas,,
Movimiento de deducciones de I+D activadas,,
Deducción por doble imposición internacional,(230),(861)
Gasto por impuesto,(50.109) (58.302),
