,Note,Annual period ended 31 December,
,,2017,2016
CONTINUING OPERATIONS Net sales Sales of goods Change in inventories of finished products & work in progress,22 a),"240,560 240,560 4,053","231,382 231,382 (6,435)"
Self-constructed assets,5,"2,057",-
"Supplies Raw materials and consumables used Inventory write-down Other operating income Ancillary and current management income Operating grants recognized in profit and loss Employee benefit expenses Wages, salaries and similar remuneration Welfare charges Other operating income External services Taxes Losses, impairment and changes in trade provisions",22 b) 12 22 c) 22 d) 22 e) 22 f),"(144,574) (145,191) 617 3,653 2,834 819 (29,520) (24,697) (4,823) (66,013) (65,289) (758) 34","(129,543) (129,399) (144) 2,792 2,283 509 (29,080) (24,377) (4,703) (49,297) (48,873) (391) (33)"
"Amortization, depreciation & impairment charges",5 y 6,"(7,891)","(7,608)"
"Allocation of grants for non-financial assets and other Impairment and gains/(losses) on disposal of intangible assets and property, plant and equipment",17 6,935 (25),"1,082 (25)"
Gains/(losses) for sales and others Other income,9,(25) -,"(25) 1,450"
,,,
PROFIT FROM OPERATING ACTIVITIES,,"3,235","14,718"
Finance revenue Finance expenses,,"9,981 (987)","15,374 (842)"
FINANCE COSTS - NET,24,"8,994","14,532"
,,,
PROFIT BEFORE INCOME TAX,,"12,229","29,250"
Income tax,23,"6,444",682
PROFIT FOR THE YEAR,16,"18,673","29,932"
