,2018,2017
Profit before tax,"16,680","17,522"
Tax calculated at domestic tax rate of 25%,"(4,170)","(4,381)"
Share of profit of joint ventures,6,(142)
Tax deductible expenses not included in the consolidation,-,134
Movement on capitalised negative tax assets,"1,313","(1,942)"
Adjustment corporate income tax prior years,57,27
Non-tax deductible expenses,(271),(683)
Non-taxable income,-,6
Tax differences in subsidiaries results,(135),-
Movement on capitalised R&D tax credits,"4,235","6,426"
Other tax credits applied,180,274
Income tax expense,"1,215",(281)
