,Nota,A 31 de diciembre de,
,,2025,2024
Flujo de efectivo de las actividades de explotación,,,
Beneficios antes de impuestos,,183.263,177.690
Ajustes de partidas que no implican movimientos de tesorería:,,,
Amortizaciones,6 y 7,30.374 (1.087) (1.314) 97 511 214 2.846 (13.202) (60) 14,28.015 (259) (4.117) — (81) (296) 2.350 (1.206) 141 4.394
"Ingresos financieros Correcciones valorativas por deterioro Ajustes por cambios de valor de instrumentos derivados Resultado por baja de activos y pasivos financieros Diferencias de cambio Gastos financieros Ingresos por subvenciones, licencias de distribución y otros ingresos diferidos Participación en el resultado de asociadas y negocios conjuntos Pérdidas por enajenación de inmovilizado o disposición por otra vía",27 12 y 13 27 27 10 20,,
Cambios en capital circulante:,,,
Clientes y otras cuentas a cobrar Existencias Otros activos corrientes (gastos anticipados) Proveedores y otras cuentas a pagar,,(30.185) 42.988 (501) (7.749),13.410 11.871 40 (16.361)
Otros cobros y pagos:,,,
Flujos de efectivo por prestación de servicios de fabricación,,(17.935),(33.876)
Cobros por licencias de distribución Cobros por subvenciones,20,630 40.105,793 —
Flujo de efectivo por impuestos,,(41.931),(44.230)
Flujos netos de efectivo generados (utilizados) en las actividades de explotación,,187.078,138.278
Flujo de efectivo por actividades de inversión,7 6 6,,
Adquisición de activos intangibles Adquisición de inmovilizado material Venta de inmovilizado material,,(2.603) (65.210) 143,(3.100) (59.119) 37
Venta de inversiones financieras Intereses cobrados Inversión en empresas asociadas y negocios conjuntos,10 c),— 592 (3.463),80 134 (19.090)
Otros cobros y pagos:,1,2.064,—
Flujos netos de efectivo generados (utilizados) en actividades de inversión,,(68.477),(81.058)
Flujo de efectivo por actividades de financiación,,,
Pago de deuda financiera,,(46.793),(51.711)
Deuda financiera recibida Intereses pagados Compra de acciones propias Reemisión de acciones propias Dividendos pagados,18 16 d) 16 d) 16 c),47.611 (2.298) (54.860) 54.851 (47.830),96.952 (1.769) (89.708) 41.921 (56.451)
Aportación de capital en sociedades dependientes,,1.508,5.410
Flujos netos de efectivo generados (utilizados) en actividades de financiación,,(47.811),(55.356)
Variación neta de efectivo y equivalentes,,70.790,1.864
Efectivo y equivalentes al inicio del ejercicio,9 y 14,27.186,25.322
Efectivo y equivalentes al final del ejercicio,9 y 14,97.976,27.186
