,,Equity attributed to parent company,,,,,,Non- controlling,Total equity
,,Equity,,,,,Adjust- ments for,,
,,Share,Share premium,Treasury,Profit/ (loss) for the per.,Other equity,,,
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Closing balance at 01/01/2017 (comparative period),3150,3.000,163.021,(8.701),26.089,,(3),,183.406
Adjustments for changes in accounting policies,3151,,,,,,,,
Adjustments for errors,3152,,,,,,,,
Adjusted opening balance,3155,3.000,163.021,(8.701),26.089,,(3),,183.406
I. Total recognized income/(expenses),3160,,,,17.241,,1,,17.242
II. Transactions with shareholders or owners,3165,,185,294,(9.025),,,,(8.546)
1. Capital increases/(reductions),3166,,,,,,,,
2. Conversion of financial liabilities to equity,3167,,,,,,,,
3. Distribution of dividends,3168,,,,(9.025),,,,(9.025)
4. Treasury stock transactions (net),3169,,185,294,,,,,479
5.Increases/(reductions) due to business combinations,3170,,,,,,,,
6. Other transactions with shareholders or owners,3172,,,,,,,,
III. Other equity transactions,3175,,16.649,,(17.064),,,,(415)
1. Payments based on equity instruments,3176,,,,,,,,
2. Transfers between equity items,3177,,17.064,,(17.064),,,,
3. Other changes,3178,,(415),,,,,,(415)
Closing balance at 31/12/2017 (comparative period),3180,3.000,179.855,(8.407),17.241,,(2),,191.687
