,,Equity,,,,,,,
,,,Share,,,Other,Adjustment,"Grants,",
,,Share,premium,Treasury,Profit/,equity,s for,donations,Total equity
,,capital,and reserves,stock,(loss) for the period,instrume nts,changes in value,and legacies received,
Closing balance at 01/01/2019 (comparative period),3050,3.364,235.163,(8.812),15.581,,(3),3.128,248.421
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance (comparative period),3055,3.364,235.163,(8.812),15.581,,(3),3.128,248.421
I. Total recognized income/(expenses),3060,,,,25.553,,,(378),25.175
II. Transactions with shareholders or owners,3065,,1.682,(1.529),(4.420),,,,(4.267)
1. Capital increases/(reductions),3066,,,,,,,,
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(4.420),,,,(4.420)
4. Treasury stock transactions (net),3069,,1.682,(1.529),,,,,153
5.Increases/ (reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,11.161,,(11.161),,,,
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,11.161,,(11.161),,,,
3. Other changes,3078,,,,,,,,
Closing balance at 31/12/2019 (comparative period),3080,3.364,248.006,(10.341),25.553,,(3),2.750,269.329
