,Miles de euros,,,,
,2023,,,2022,
,Saldo,Saldo,,Saldo,Saldo
,deudor,acreedor,,deudor,acreedor
Por compras/ventas o prestación de servicios,,,,,
- Dependientes,57.827,162.635 124,,,
- Entidades participadas por la familia López-Belmonte Encina,—,,,,
,57.827,162.759 661,,,
Por deuda por Impuesto de Sociedades,,,,,
- Dependientes (Nota 23),47.955,,,,
,47.955,661 99.800,,,
"Por préstamos concedidos, a valor razonable:",,,,,
- Dependientes,53.001,,,,
,53.001,99.800 1.555,,,
Por intereses:,,,,,
- Dependientes,887,,,,
,887,1.555 1.801 241,,,
Otros conceptos:,,,,,
- Administradores,— —,,,,
- Alta dirección,,,,,
,—,2.042,,,
,,,,,
TOTAL,159.670 266.817,,,,
