,,,,,,
,,Carrying,,,,
,% direct,amount of,,,Profit or loss,
,interest,interest,Capital,Reserves,for period,Total equity
"Pan Química Farmacéutica, S.A.",100 %,"1,771",601,"1,274",290,"2,165"
"Gineladius, S.L.",100 %,293,30,421,(28),423
Bertex Pharma GmbH (Nota 29 b),100 %,"1,236",25,66,—,91
"Rovi Pharma Industrial Services,",,,,,,
S.A.U.,100 %,"7,370","7,816","31,216","24,674","63,706"
"Rovi Biotech, Limited",100 %,7,6,(252),10,(236)
"Rovi Biotech, S.r.l.",100 %,340,10,265,297,572
"Rovi Biotech, GmbH",100 %,"1,575",25,904,459,"1,388"
Rovi S.A.S.,100 %,5,5,"(1,514)",9,"(1,500)"
Rovi Biotech sp.z.o.o.,100 %,487,21,433,(7),447
"Rovi Escúzar, S.L.",100 %,590,30,541,(51),520
,,"13,674",,,,
