,,Annual period ended 31 December,
,Note,2020,2019
"CONTINUING OPERATIONS Net sales Sales of goods Change in inventories of finished products and work in progress Procurements Raw materials and consumables used Inventory write-down Other operating income Ancillary and current management income Operating grants recognised in profit and loss Employee benefit expenses Wages, salaries and similar remuneration Welfare charges Other operating expenses External services Taxes Losses, impairment and changes in trade provisions",22 a) 12 22 b) 12 22 c) 22 d) 22 e) 22 f) 10 c),"459,424 459,424 (7,245) (308,275) (310,039) 1,764 5,111 4,595 516 (32,803) (26,974) (5,829) (61,815) (55,765) (6,080) 44","379,221 379,221 13,653 (277,098) (275,544) (1,554) 3,450 2,984 466 (34,490) (28,766) (5,724) (66,661) (64,476) (2,635) 450 - (9,331) 685 (342) (341) (1)"
Other current operating expenses,,(14),
"Amortisation, depreciation and impairment charges Allocation of grants for non-financial assets and other Impairment and gains/(losses) on disposal of intangible assets and property,",5 & 6 17 6,"(9,710) 629 (70)",
Impairments and losses,5,(56),
Gains/(losses) on sales and other,,(14),
PROFIT/(LOSS) FROM OPERATING ACTIVITIES,,"45,246","9,087"
Finance revenue Finance expenses Change in fair value of financial instruments Exchange rate differences Impairment and gains/(losses) on disposal of financial instruments,,"31,723 (789) (796) 77 (245)","17,066 (624) (146) 24 305"
FINANCE COSTS – NET,24,"29,970","16,625"
,,,
PROFIT BEFORE INCOME TAX,,"75,216","25,712"
Income tax,23,"(4,079)",(159)
PROFIT FOR THE YEAR,16,"71,137","25,553"
