,,31 December,
,Note,"2,024","2,023"
"Revenue Change in inventories of finished products and work in progress Raw materials and consumables used Work carried out by the Group on non-current assets Employee benefit expenses Other operating expenses Amortisation and depreciation Recognition of government grants on non-financial, non-current assets and other",5 & 22,"763,749 57,851 (343,902) 648 (135,659) (135,967) (28,015)","829,509 18,552 (359,641) 3,865 (122,807) (125,674) (24,331)"
,23 23 6 24 25,,
,6 & 7,,
,27 10 28,840,781
OPERATING PROFIT,,"179,545","220,254"
,,,
Finance income Finance costs Impairment and gain or loss on measurement of financial instruments Exchange differences,,"259 (2,350) 81 296","1,504 (948) (191) (86)"
FINANCE COSTS - NET,,"(1,714)",279
,,,
Share of profit in joint ventures and associates,,(141),(125)
,,,
PROFIT BEFORE TAX,,"177,690","220,408"
,,,
Income tax,,"(40,814)","(50,109)"
,,,
PROFIT FOR THE YEAR,,"136,876","170,299"
,29,,
Attributable to,,,
– Parent company,,"136,881 (5)","170,335 (36)"
– Non-controlling interests,,,
,,,
Earnings per share (basic and diluted) attributed to the shareholders of the Company,,,
– Basic and diluted,,2.67,3.20
,,,
