Rank_Overall,Rank_Group,Group,Company,Country,Relevance_Text,Relevance,Annual_Score,Quarterly_Score,CashFlow_Score,Daily,Historical_Score,Historical_Years,ML_Score,Target,N_Obs,MissingPenalty,QualityPenalty,ZeroPenalty,Score,Quality_Issues
1,1,Non-Indian,Amgen,United States,Biosimilar-focused,3,3.0,2.0,2.0,1.0,3,36.4,2,1,48,0.75,0,0,28.25,None major
2,2,Non-Indian,Biogen,United States,Biosimilar-focused,3,3.0,2.0,1.0,1.0,2,13.0,2,1,49,0.5,0,0,26.5,None major
3,3,Non-Indian,Teva Pharmaceutical,Israel,Pharmaceutical,1,3.0,2.0,2.0,1.0,3,33.7,2,1,48,0.75,0,0,24.25,None major
4,4,Non-Indian,Novartis,Switzerland,Uncertain,0,3.0,2.0,2.0,1.0,3,25.7,2,1,49,0.75,0,0,22.25,None major
5,5,Non-Indian,3SBio,China,Biopharmaceutical,2,3.0,1.0,2.0,1.0,3,20.6,1,1,20,1.5,0,0,21.5,None major
6,1,Indian,Biocon,India,Biosimilar-focused,3,2.0,1.0,2.0,1.0,3,18.3,1,1,31,1.5,0,0,21.5,None major
7,6,Non-Indian,Fresenius SE,Germany,Uncertain,0,3.0,2.0,2.0,1.0,2,13.0,2,1,48,0.75,0,0,21.25,None major
8,7,Non-Indian,Merck & Co.,United States,Uncertain,0,3.0,2.0,2.0,1.0,2,13.0,2,1,49,0.75,0,0,21.25,None major
9,8,Non-Indian,Baxter International,United States,Uncertain,0,3.0,2.0,2.0,1.0,2,14.4,2,1,49,1.0,0,0,21.0,None major
10,9,Non-Indian,Viatris,United States,Uncertain,0,3.0,2.0,2.0,1.0,2,12.6,2,1,49,1.0,0,0,21.0,None major
11,10,Non-Indian,Mabwell Bioscience,China,Biopharmaceutical,2,3.0,1.0,2.0,1.0,1,7.6,1,1,18,1.5,0,0,19.5,None major
12,11,Non-Indian,Bio-Thera Solutions,China,Biopharmaceutical,2,3.0,1.0,1.0,1.0,1,9.6,1,1,25,1.5,0,0,18.5,None major
13,12,Non-Indian,Jiangsu Hengrui Pharma,China,Pharmaceutical,1,3.0,1.0,2.0,1.0,2,12.6,1,1,47,1.5,0,0,18.5,None major
14,13,Non-Indian,Shanghai Fosun Pharma,China,Pharmaceutical,1,3.0,1.0,2.0,1.0,2,12.6,1,1,47,1.5,0,0,18.5,None major
15,14,Non-Indian,Zhejiang Hisun Pharma,China,Pharmaceutical,1,3.0,1.0,2.0,1.0,2,12.6,1,1,12,1.5,0,0,18.5,None major
16,15,Non-Indian,Pfizer,United States,Uncertain,0,3.0,1.0,2.0,1.0,3,43.5,1,1,17,1.25,0,0,17.75,None major
17,2,Indian,Aurobindo Pharma,India,Pharmaceutical,1,2.0,1.0,2.0,1.0,3,23.2,1,1,24,1.75,0,0,17.25,None major
18,3,Indian,Glenmark Pharmaceuticals,India,Pharmaceutical,1,2.0,1.0,2.0,1.0,3,23.2,1,1,24,1.75,0,0,17.25,None major
19,4,Indian,Sun Pharmaceutical,India,Pharmaceutical,1,2.0,1.0,2.0,1.0,3,26.8,1,1,24,1.75,0,0,17.25,None major
20,5,Indian,Torrent Pharmaceuticals,India,Pharmaceutical,1,2.0,1.0,2.0,1.0,3,20.9,1,1,24,1.75,0,0,17.25,None major
