Instrumentos financieros por categoría,2025 2024,
ACTIVOS FINANCIEROS,,
Activos financieros no corrientes,— 65,
Cuentas financieras a cobrar (Nota 13),—,65
Activos financieros corrientes,263.505 144.270,
Clientes y otras cuentas a cobrar (Nota 13),165.529 116.857,
Activos financieros a coste amortizado (Nota 32),— 227,
Efectivo y equivalentes al efectivo (Nota 14),97.976 27.186,
,,
PASIVOS FINANCIEROS,,
Pasivos financieros no corrientes,95.411 92.538,
Pasivos contractuales (Nota 20),2.016 1.819,
Deuda financiera (Nota 18),93.204,90.719
Otras cuentas a pagar (Nota 17),191,—
Pasivos financieros corrientes,143.612 146.201,
Pasivos contractuales (Nota 20),4.042 4.803 28.617 23.691 110.953 117.707,
Deuda financiera (Nota 18),,
Proveedores y otras cuentas a pagar (Nota 17),,
