,Fabricación,Comercialización,Otros,Total agregado,Operaciones Inter- segmentos,Total Consolidado
Total ingresos segmento,644.407,420.232,—,1.064.639,(235.130),829.509
,,,,,,
Beneficio/(pérdida),187.406 (21.620),,(73),165.713 4.586 170.299,,
Impuesto de sociedades,49.573 (982) (9) 48.582 1.527 50.109,,,,,
Rtdo. antes de imptos.,236.979 (22.602) (82) 214.295 6.113 220.408,,,,,
Resultado financiero,(1.536) 1.630 15.200 9.149,,6 —,100 (379) (279) 24.349 (18) 24.331,,
Amortización,,,,,,
EBITDA (*),250.643 (11.823),,(76) 238.744 5.716 244.460,,,
,,,,,,
Amortización,(15.200) (9.149),,—,(24.349) 18 (24.331),,
EBIT (**),235.443 (20.972) (76) 214.395 5.734 220.129,,,,,
