,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Closing balance at 01/01/2018 (comparative period),3150,3.000,179.855,(8.407),17.241,,(2),,191.687
Adjustments for changes in accounting policies,3151,,,,,,,,
Adjustments for errors,3152,,,,,,,,
Adjusted opening balance,3155,3.000,179.855,(8.407),17.241,,(2),,191.687
I. Total recognized income/(expenses),3160,,,,17.895,,(1),,17.894
II. Transactions with shareholders or owners,3165,364,84.008,(405),(5.952),,,,78.015
1. Capital increases/(reductions),3166,364,83.755,,,,,,
2. Conversion of financial liabilities to equity,3167,,,,,,,,
3. Distribution of dividends,3168,,,,(5.952),,,,(5.952)
4. Treasury stock transactions (net),3169,,253,(405),,,,,(152)
5.Increases/(reductions) due to business combinations,3170,,,,,,,,
6. Other transactions with shareholders or owners,3172,,,,,,,,
III. Other equity transactions,3175,,11.165,,(11.289),,,,(124)
1. Payments based on equity instruments,3176,,,,,,,,
2. Transfers between equity items,3177,,11.289,,(11.289),,,,
3. Other changes,3178,,(124),,,,,,(124)
Closing balance at 31/12/2018 (comparative period),3180,3.364,275.028,(8.812),17.895,,(3),,287.472
