,2020,2021
ASSETS,,
Loans and receivables,"326,292",—
Financial assets at amortised cost,—,"326,292"
Investments in group and associated companies,"13,680",—
Financial assets at cost,—,"13,680"
Available-for-sale financial assets,63,—
Financial assets at fair value through other comprehensive income,—,63
LIABILITIES,,
Held-for-trading financial assets,925,—
Financial liabilities at fair value through profit and loss,—,925
Debits and payables,"150,330",—
Financial liabilities at amortised cost,—,"150,330"
