,2024 2023
Ingresos por intereses,26 7 233 1.497
Otros ingresos financieros,
Total ingresos financieros,259 1.504
,
Gastos por intereses,(1.988) (667) (362) (281)
Otros gastos financieros,
Total gastos financieros,(2.350) (948)
,
Resultado por enajenaciones de instrumentos financieros,81 (219) — 28
Variación en el valor razonable de instrumentos financieros,
Deterioro y resultado en valoración de instrumentos financieros,81 (191)
,
Diferencias de cambio,296 (86)
,296 (86)
,
Resultado financiero neto,(1.714) 279
