,,Trademarks Computer Development & Licences software,,,,Total
Balance at 01.01.25,,,,,,
Cost,,"8,899 44,895 18,283 — 72,077 — (494) — — (494) (3,180) (20,884) (13,569) — (37,633)",,,,
Accumulated impairment,,,,,,
Accumulated amortisation,,,,,,
Net carrying amt 01.01.25,,"5,719 23,517 4,714 — 33,950",,,,
Additions,,"— — 679 — 679 — — 46 2,702 2,748 — — (30) — (30) (221) (877) (526) — (1,624)",,,,
Depreciation charge,,,,,,
Balance at 30.06.25,,,,,,
Cost,,"8,899 44,895 19,008 2,702 75,504",,,,
Accumulated impairment,,—,(494),— —,,"(494) (39,287)"
Accumulated amortisation,,"(3,401) (21,761) (14,125)",,,—,
Net carrying amt 30.06.25,,"5,498 22,640 4,883",,,"2,702 35,723",
