,,,Miles euros,,Años,
,,,,Valor,,Periodo
,,,Importe,razonable,Plazo de,de
Sociedad,Organismo,Proyecto,nominal,inicial,amortización,carencia
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(1),105,67,10,4
Lab. Farm. Rovi,Centro para el Desarrollo Tecnológico Industrial,(1),160,134,8,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(1),174,144,10,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(1),30,25,10,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(2),152,122,10,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(2),82,66,10,4
Lab. Farm. Rovi,Corporación Tecnológica de Andalucía,(2),94,79,10,4
,,,,,,
,,,797,637,,
