,2020,,,,2019,,,,,,,,
,,,,,,,,,,Variation Total,,,
,,,,,,,,,,,,,
ENERGY CONSUMED,Granada,Madrid & SSRR,Alcalá de Henares,Distribution,Granada,Madrid & SSRR,Alcalá de Henares,Distribution,,Gr,Mad & SSRR,AH,
,,,,,,,,,,,,,Distr.
,,,,,,,,,,,,,
kWh electricity consumed,"3,848,018","7,091,109","9,673,660","637,543","3,822,809","7,795,638","8,906,808","623,206",,1%,-9%,9%,2%
kWh electricity / million units produced,8,"43,365","179,142","26,089",7,"58,924","225,489","30,889",,9%,-26%,-21%,-16%
kWh natural gas consumed,"4,405,540","7,570,552","14,549,428",0,"2,285,101","6,836,948","14,048,975",0,,93%,11%,4%,-
kWh natural gas / million units produced,9,"46,297","269,434",0,4,"51,678","355,670",0,,109%,-10%,-24%,-
Litres vehicle fuel,"1,000","40,498","5,231","291,520",300,0,"2,175","485,185",,233%,-,140%,-40%
