,Thousands of euros,
,2018,2017
Finance income:,,
Gains and losses on equity instruments,,
- In Group and associated companies (Note 31.d),"(12,791)","(9,892)"
Gains and losses on marketable securities and other financial instruments,,
- Of third parties,(54),(89)
,"(12,845)","(9,981)"
Finance costs:,684,987
Debt with third parties,,
,684,987
Change in fair value of financial instruments:,,
Derivatives,(17),-
,(17),-
Exchange rate differences,,
Exchange rate differences,56,-
,56,-
Impairment and gain or loss on disposal of financial instruments,,
Impairment and losses,48,-
Gains and losses on disposals and other,(50),-
,(2),-
,,
Finance income and costs,"(12,124)","(8,994)"
