,31 de diciembre 2024,,31 de diciembre de 2023,
Estado del resultado global resumido,"Terafront Farmatech, S.L.",,"Alentia Biotech, Enervit S.L. Nutrition, S.L.",
,,,,
Importe neto de la cifra de negocio Coste de ventas Gastos de personal Otros gastos de explotación,— — —,,— — — —,5.727 (4.777) (351) (448)
,(90),,,
Amortizaciones,—,,—,(335)
Resultado de explotación,(90),,—,(184)
Resultado financiero,—,,—,—
Impuesto sobre beneficios,—,,— —,
Resultado del periodo,(90),,—,(184)
,,,,
Otro resultado global,—,,—,
,,,,
TOTAL RESULTADO GLOBAL,(90),,—,(184)
,,,,
Dividendos recibidos de negocios conjuntos,—,,—,
