,Miles de euros
,2025 2024
Cobros y pagos por instrumentos de pasivo financiero:,
"- Subvenciones, donaciones y legados recibidos",36.341
,36.341
Cobros y pagos por instrumentos de pasivo financiero:,
a) Emisión - Deudas con entidades de crédito (Nota 18) - Deudas con empresas del grupo y asociadas (Nota 31 h) - Otras deudas (Nota 18),46.521 81.631 1.090
,129.242
b) Devolución y amortización - Deudas con entidades de crédito - Deudas con empresas del grupo y asociadas - Otras deudas,
,(38.453) — (1.619)
,(40.072)
Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio:,
- Dividendos (Nota 15 b) y d),(47.830)
- Transacciones con acciones propias (Nota 15 c),(9) (47.787)
,(47.839) (104.238)
Flujos de efectivo generados / (utilizados) de las actividades de financiación,77.672 (20.081)
