,,,,Thousands of euros,,,,,,,,,,,,
,,,,2018,,,,,,,,2017,,,,
,,,,Debit,,,Credit,,,,,Debit,,,Credit,
,,,,balance,,,balance,,,,,balance,,,balance,
Purchases/sales of goods or services,,,,,,,,,,,,,,,,
- Subsidiaries,,,"102,885",,,"81,620",,,,,"38,059",,,"21,733",,
- Entities in which Mr. Juan López-Belmonte holds an interest,,,33,,,151,,,,,33,,,183,,
- Joint ventures,,,-,,,20,,,,,24,,,40,,
,,,"102,918",,,"81,791",,,,,"38,116",,,"21,956",,
Income tax charge,,,,,,,,,,,,,,,,
- Subsidiaries (Note 23),,,"8,856",,,61,,,,,"3,677",,,49,,
- Joint ventures,,,-,,,80,,,,,-,,,80,,
,,,"8,856",,,141,,,,,"3,677",,,129,,
Loans granted at fair value,,,,,,,,,,,,,,,,
- Subsidiaries,,,"1,920",,,-,,,,,"2,087",,,-,,
- Joint ventures (*),,,46,,,-,,,,,100,,,-,,
,,,"1,966",,,-,,,,,"2,187",,,-,,
Interest,,,,,,,,,,,,,,,,
- Subsidiaries,,,36,,,-,,,,,"22,967",,,-,,
,,,36,,,-,,,,,"22,967",,,-,,
Dividends,,,,,,,,,,,,,,,,
- Subsidiaries,,,"35,758",,,-,,,,,"22,967",,,-,,
,,,"35,758",,,-,,,,,"22,967",,,-,,
Other items,,,,,,,,,,,,,,,,
- Directors,,,44,,,"1,537",,,,,45,,,"1,147",,
- Key management,,,-,,,250,,,,,-,,,273,,
,,,44,,,"1,787",,,,,45,,,"1,420",,
,,,,,,,,,,,,,,,,
TOTAL,,,"149,578",,,"83,719",,,,,"66,992",,,"23,505",,
