,,Equity,,,,,Adjustment s for changes in value,"Grants, donations and legacies received",Total equity
,,Share capital,Share premium and reserves,Treasury stock,Profit/ (loss) for the period,Other equity instrume nts,,,
Closing balance at 01/01/2017 (comparative period),3050,3.000,117.616,(8.701),29.932,,(3),3.904,145.748
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance (comparative period),3055,3.000,117.616,(8.701),29.932,,(3),3.904,145.748
I. Total recognized income/(expenses),3060,,,,18.673,,1,(415),18.259
II. Transactions with shareholders or owners,3065,,185,294,(9.025),,,,(8.546)
1. Capital increases/(reductions),3066,,,,,,,,
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(9.025),,,,(9.025)
4. Treasury stock transactions (net),3069,,185,294,,,,,479
5.Increases/ (reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,20.633,,(20.907),,,,(274)
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,20.907,,(20.907),,,,
3. Other changes,3078,,(274),,,,,,(274)
Closing balance at 31/12/2017 (comparative period),3080,3.000,138.434,(8.407),18.673,,(2),3.489,155.187
