,,CURRENT PERIOD (2nd HALF),PREVIOUS PERIOD (2nd HALF),ACCUMULA TED PERIOD 31/12/2018,ACCUMULA TED PREVIOUS PERIOD
(+) Net revenue,1205,156.894,136.890,303.203,275.649
(+/-) Change in inventories of finished products and work in progress,1206,331,1.747,9.050,8.873
(+) Work performed by the company on its assets,1207,,2.057,,2.057
(-) Supplies,1208,(67.000),(56.699),(137.662),(119.065)
(+) Other operating income,1209,,,,
(-) Employee benefit expenses,1217,(33.914),(32.144),(70.180),(63.990)
(-) Other operating expenses,1210,(40.983),(46.383),(76.496),(74.809)
(-) Amortization and depreciation charges,1211,(6.186),(5.561),(12.044),(11.479)
(+) Allocation of grants for non-financial assets and other,1212,833,1.092,1.587,1.773
"(+/-) Impairment of intangible assets and property, plant & equipment",1214,,,,
"(+/-) Gains/(losses) on disposal of intangible assets and property, plant & equipment",1216,,,,
(+/-) Other gains/(losses),1215,,,,
= OPERATING PROFIT/(LOSS),1245,9.975,999,17.458,19.009
(+) Finance income,1250,9,36,16,93
a) Interest income calculated using the effective interest rate method,1262,9,36,16,93
b) Other,1263,,,,
(-) Finance expenses,1251,(274),(469),(712),(1.013)
(+/-) Change in fair value of financial instruments,1252,(23),,(23),
(+/-) Gains/(losses) due to the reclassification of financial assets held at amortised cost to financial assets held at fair value,1258,,,,
(+/-) Gains/(losses) due to the reclasification of financial assets held at fair value through other comprehensive income to financial assets held at fair value,1259,,,,
(+/-) Exchange rate differences,1254,(83),,(83),
(+/-) Impairment on disposal of financial instruments,1255,,,,
(+/-) Gains/(losses) on disposal of financial instruments,1257,,,,
a) Financial instruments at amortised cost,1260,,,,
b) Rest of financial instruments,1261,,,,
= FINANCE PROFIT/(LOSS),1256,(371),(433),(802),(920)
(+/-) Profit/(loss) of entities measured using the equity method,1253,49,(278),24,(567)
= PROFIT/(LOSS) BEFORE TAX,1265,9.653,288,16.680,17.522
(+/-) Corporate income tax,1270,692,1.196,1.215,(281)
= PROFIT/(LOSS) FOR PERIOD FROM CONTINUING OPERATIONS,1280,10.345,1.484,17.895,17.241
"(+/-)Profit/(loss) for period from discontinued operations, net of taxes",1285,,,,
= CONSOLIDATED PROFIT/(LOSS) FOR PERIOD,1288,10.345,1.484,17.895,17.241
a) Profit/(loss) attributed to parent company,1300,10.345,1.484,17.895,17.241
b) Profit/(loss) attributed to non-controlling interests,1289,,,,
