,31 de diciembre de 2024,,31 de diciembre de 2023,
Estado del resultado global resumido,"Cells IA Technologies , S.L.","Terafront Farmatech, S.L.","Cells IA Technologies , S.L.","Enervit Nutrition, S.L."
,,,,
Importe neto de la cifra de negocio,195 — (368) (290) (14),— — — (90) —,— — (45),5.727 (4.777) (351)
Aprovisionamientos y variación de existencias,,,,
Gastos de personal,,,,
Otros gastos de explotación,,,(76) (448),
Amortizaciones,,,(7),(335)
Resultado de explotación,(477),(90),(128) (184),
Resultado financiero,—,—,— —,
Impuesto sobre beneficios,24,—,— —,
Resultado del periodo,(453),(90),(128) (184),
,,,,
Otro resultado global,— —,,— —,
,,,,
TOTAL RESULTADO GLOBAL,(453),(90),(128) (184),
,,,,
Dividendos recibidos de negocios conjuntos,— —,,— —,
