Instrumentos financieros por categoría,2022 2021
ACTIVOS FINANCIEROS Activos financieros no corrientes,
,74 137
Cuentas financieras a cobrar (Nota 13) Valores de renta variable (Nota 11),65 65 9 72
Activos financieros corrientes,286.659 230.386
Clientes y otras cuentas a cobrar (Nota 13) Efectivo y equivalentes al efectivo (Nota 14),161.714 131.351 124.945 99.035
PASIVOS FINANCIEROS Pasivos financieros no corrientes,
,60.986 68.205
Pasivos contractuales (Nota 20) Deuda financiera (Nota 18),1.545 1.460 59.441 66.745
Pasivos financieros corrientes,287.262 183.683
Pasivos contractuales (Nota 20) Deuda financiera (Nota 18) Proveedores y otras cuentas a pagar (Nota 17),114.901 57.632 12.725 6.417 159.636 119.634
