,Thousand euros
,2024 2023
Amounts received from and paid for financial liability instruments,
a) Issue,
– Debt with group and associated companies,"34,083 4,052"
– Other debt (Note 18),
,"131,035"
b) Reimbursement and repayment,
– Bank borrowings,"(43,788) (1,555) (1,535) (1,770)"
– Debt with group and associated companies,
– Other debt,
– Interest payments,
,"(48,648)"
Dividend payments and remuneration of other equity instruments,
– Dividends (Note 15.b and d),"(56,451) (47,787)"
– Transactions with treasury shares (Note 15.c),
,"(104,238)"
Cash flows generated (used) in financing activities,"(21,851)"
