,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Closing balance at 01/01/2021,3110,3.364,329.467,(20.185),61.057,,(3),,373.700
Adjustments for changes in accounting policies,3111,,,,,,,,
Adjustments for errors,3112,,,,,,,,
Adjusted opening balance,3115,3.364,329.467,(20.185),61.057,,(3),,373.700
I. Total recognized income/(expenses),3120,,,,153.077,,1,,153.078
II. Transactions with shareholders or owners,3125,,10.882,(45.936),(21.132),,,,(56.186)
1. Capital increases/(reductions),3126,,,,,,,,
2. Conversion of financial liabilities to equity,3127,,,,,,,,
3. Distribution of dividends,3128,,,,(21.132),,,,(21.132)
4. Treasury stock transactions (net),3129,,10.882,(45.936),,,,,(35.054)
5.Increases/(reductions) due to business combinations,3130,,,,,,,,
6. Other transactions with shareholders or owners,3132,,,,,,,,
III. Other equity transactions,3135,,40.309,,(39.925),,,,384
1. Payments based on equity instruments,3136,,,,,,,,
2. Transfers between equity items,3137,,39.925,,(39.925),,,,
3. Other changes,3138,,384,,,,,,384
Closing balance at 31/12/2021,3140,3.364,380.658,(66.121),153.077,,(2),,470.976
