,,,,TOTAL/PROMEDIO
,,,,-1 %
,,,,14 %
Total residuos,141 % -7 % 3 % 33 % 2 % 65 %,,,5 %
,,,,—
,,,,-100 %
,,,,— %
,,,,100 %
,,n.a.,n.a. n.a. n.a. n.a. n.a.,n.a.
,,n.a.,n.a. n.a. n.a. n.a. n.a.,n.a.
Total residuos no peligrosos reciclados/uds. producidas y distribuidas,,n.a.,131 % 74 % -62 % 48 % -92 %,n.a.
Total residuos no peligrosos valorizados/ uds. producidas y distribuidas,,n.a.,n.a. n.a. n.a. 30 % n.a. n.a. n.a. n.a. -79 % n.a.,n.a.
Total residuos peligrosos valorizados/uds. producidas y distribuidas,,n.a.,,n.a.
