,31 de diciembre de 2024,,31 de diciembre de 2023,
Balance resumido,"Cells IA Technologies, S.L.","Terafront Farmatech, S.L.","Cells IA Technologies , S.L.","Enervit Nutrition, S.L."
,,,,
Corriente,,,,
Efectivo y equivalentes al efectivo,3 302,74.867 19,472 —,
Otros activos corrientes (excluido efectivo),,,16,—
Total activos corrientes,305,74.886,488 —,
Pasivos financieros (excluidos proveedores),(226) —,,— (17),— —
Otros pasivos corrientes (incluidos proveedores),(76),(109),,
Total pasivos corrientes,(302),(109),(17),—
,,,,
No Corriente,,,,
Inmovilizado material,4 10,— —,5 19,— —
Inmovilizado intangible,,,,
Otros activos financieros,— —,,— —,
Activos por impuestos diferidos,32,—,7,—
Total activos no corrientes,46,—,31,—
Pasivos financieros,— — — —,,—,—
Otros pasivos,,,— —,
Total pasivos no corrientes,— —,,—,—
,,,,
ACTIVOS NETOS,49,74.777,502 —,
