,Nota,Al 31 de diciembre,
,,2016,2015
PATRIMONIO NETO,,147.658,123.929
"Fondos propios Capital Reservas (Acciones y participaciones en patrimonio propias) Resultados de ejercicios anteriores Resultado del ejercicio Ajustes por cambio de valor Activos financieros disponibles para la venta Subvenciones, donaciones y legados recibidos",14 15 15 15 16 17,143.757 3.000 6.959 (8.701) 110.657 31.842 (3) (3) 3.904,119.523 3.000 6.959 (8.112) 100.167 17.509 (2) (2) 4.408
PASIVO NO CORRIENTE,,24.336,34.988
Deudas a largo plazo,,20.110,31.780
Deudas con entidades de crédito Otros pasivos financieros Pasivos por impuesto diferido,7 y 18 7 y 18 21,10.940 9.170 3.328,20.932 10.848 2.562
Periodificaciones a largo plazo,19,898,646
PASIVO CORRIENTE,,113.461,69.083
Provisiones a corto plazo,20,2.878,2.497
,,,
"Deudas a corto plazo Deudas con entidades de crédito Otros pasivos financieros Deudas con empresas del grupo y asociadas a corto plazo Acreedores comerciales y otras cuentas a pagar Proveedores Proveedores, empresas del grupo y asociadas Acreedores varios Personal (remuneraciones pendientes de pago) Otras deudas con las Administraciones Públicas",7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 23,12.789 9.991 2.798 88 97.537 31.377 61.505 23 3.712 920,9.997 7.247 2.750 87 56.333 25.840 26.493 15 3.279 706
Periodificaciones a corto plazo,19,169,169
TOTAL PATRIMONIO NETO Y PASIVO,,285.455,228.000
