,Thousand euros,
,2021,2020
Finance income:,,
Gains and losses on equity instruments,,
- In Group and associated companies (Nota 31 f),"24,964","31,151"
Gains and losses on marketable securities and other financial instruments,,
- In Group and associated companies (Nota 31 f),558,569
- Of third parties,67,3
,"25,589","31,723"
Finance costs:,,
Debt with third parties,(655),(789)
,(655),(789)
Change in fair value of financial instruments:,,
Derivatives,908,(796)
,908,(796)
Exchange rate differences,,
Exchange rate differences,(111),77
,(111),77
Impairment and gain or loss on disposal of financial instruments,,
Gains and losses on disposals and other,"1,161",(245)
,"1,161",(245)
,,
Finance income and costs,"26,892","29,970"
