Política,Contenido fundamental,Alcance,Nivel de aprobación
Código Ético de Proveedores,"Recoge los compromisos de ROVI y los principios de actuación que se deben cumplir por parte de los terceros con quienes tiene relación en materia de buen gobierno del Grupo: integridad, transparencia, cumplimiento, confidencialidad y competencia leal. Asimismo, se abordan el respeto hacia los trabajadores, la seguridad y salud laboral, la calidad y seguridad de los productos, y el respeto al medio ambiente, entre otros aspectos relevantes.","Todos los proveedores, contratistas, subcontratistas, colaboradores y socios comerciales del Grupo",Comisión de Auditoría y Consejo de Administración
Política de Calidad,"Describe el compromiso con la seguridad, calidad y eficacia de los productos, cumpliendo con requisitos legales. Además, se fija la calidad, la prevención de riesgos laborales y la protección del medio ambiente como ejes de la gestión del ciclo de vida de sus productos y de la mejora continua del Sistema de Gestión de Calidad.",Todas las sociedades del Grupo,Presidente de la Compañía
Política de Acceso a los Medicamentos,Describe los principios de actuación para cumplir con el objetivo de mejorar la calidad de vida de las personas mediante la colaboración con grupos de interés y comunidades para hacer accesible la sanidad y los medicamentos.,Todas las sociedades del Grupo,Presidente de la Compañía
Política de Marketing Ético,Define los principios de actuación y medidas para garantizar el cumplimiento de los criterios éticos adoptados por ROVI en las estrategias de marketing y en la comercialización de productos farmacéuticos. También se definen las consecuencias en caso de incumplimiento y la obligación de comunicar las infracciones.,Todas las sociedades del Grupo,Presidente de la Compañía
Política integrada de Propiedad Industrial e Intelectual18,"Define los criterios para asegurar el correcto uso y gestión de activos propios y de terceros, apoyándose en procedimientos corporativos, así como para identificar, preservar o comunicar cualquier situación, proceso, uso o producto que pueda interferir en esta gestión.",Todas las sociedades del Grupo,Presidente de la Compañía
Política de Protección de Datos,Define los principios y obligaciones relativos al tratamiento de datos personales para garantizar que se realice respetando las obligaciones establecidas en la normativa aplicable. También se definen las responsabilidades al respecto.,Todas las sociedades del Grupo,Comisión de Auditoría y Consejo de Administración
Política de Transparencia de Datos,"Recoge el compromiso de ROVI con la transparencia de los datos obtenidos de los ensayos clínicos realizados por la Compañía, demostrando la seguridad y eficacia de sus productos y en cumplimiento con los principios éticos de la Declaración de Helsinki.",Todas las sociedades del Grupo,Presidente de la Compañía
Política sobre Investigación y Desarrollo con Células Madre,"Describe el compromiso con la transparencia y uso responsable de células madre, en cumplimiento con la normativa aplicable, reconociendo los riesgos y controversias asociados a esta práctica.",Todas las sociedades del Grupo,Presidente de la Compañía
Política de investigación en Ingeniería genética,"Describe el compromiso con la transparencia y uso responsable de esta tecnología, reconociendo beneficios y riesgos y define los principios de actuación.",Todas las sociedades del Grupo,Presidente de la Compañía
Política sobre Investigación en Nanotecnología,"Reafirma el compromiso de la Compañía en relación con el cumplimiento regulatorio, la ética y la transparencia en relación con la gestión responsable de tecnologías a escala nanométrica.",Todas las sociedades del Grupo,Presidente de la Compañía
Política de Competencia,"Fija los principios y criterios de cumplimiento en materia de competencia y prevención de conductas anticompetitivas, establece un marco común para controlar y gestionar los riesgos de infracciones por parte de las áreas de negocio de ROVI y fomenta una cultura pro-competitiva en la organización y en la toma de decisiones.",Todas las sociedades del Grupo,Consejo de Administración
Política de Antisoborno y Anticorrupción,"Establece que todas las decisiones empresariales deben basarse en la honestidad, integridad y la ética, marcando el compromiso en la lucha contra el fraude y la corrupción.",Todas las sociedades del Grupo,Consejo de Administración
Política de Cumplimiento Normativo,"Fija los principios de cumplimiento y prevención de conductas ilícitas, estableciendo un marco común para controlar y gestionar los riesgos de cumplimiento. Además, fomenta la cultura ética en los procesos de toma de decisiones.",Todas las sociedades del Grupo,Consejo de Administración
Política de Operaciones Vinculadas e Intragrupo,"Define cómo se aprueban y se comunican las operaciones vinculadas e intragrupo, indicando cuándo decide la Junta General de Accionistas o el Consejo de Administración, y el informe previo de la Comisión de Auditoría. También establece la obligación de hacer públicas ciertas operaciones.",Todas las sociedades del Grupo,Consejo de Administración
