,31 de diciembre de 2023,,,,
Balance resumido,"Alentia Biotech, S.L.","Enervit Nutrition, S.L.",,,
,,,,,
Corriente,,,,,
Efectivo y equivalentes al efectivo,— —,— —,,— 85,
Otros activos corrientes (excluido efectivo),,,,—,2.517
Total activos corrientes,—,—,,—,2.602
Pasivos financieros (excluidos proveedores),— —,,,— —,— (1.080)
Otros pasivos corrientes (incluidos proveedores),—,—,,,
Total pasivos corrientes,—,—,,—,(1.080)
,,,,,
No Corriente,,,,,
Inmovilizado material,— —,— —,,— —,1 2.648
Inmovilizado intangible,,,,,
Otros activos financieros,— —,,,— —,
Activos por impuestos diferidos,—,—,,—,215
Total activos no corrientes,—,—,,—,2.864
Pasivos financieros,— — — —,,,—,—
Otros pasivos,,,,— —,
Total pasivos no corrientes,— —,,,,
,,,,,
ACTIVOS NETOS,—,—,,— 4.386,
