Temática,Sub-tema,Sub-sub-tema,Materialidad de impacto,Materialidad financiera
S1 Personal propio,Condiciones de trabajo,Conciliación laboral,,
,,Diálogo social,,
,,Empleo seguro,,
,,Negociación colectiva,,
,,Libertad de asociación,,
,,Salarios adecuados,,
,,Salud y seguridad,,
,,Tiempo de trabajo,,
,Igualdad de trato y oportunidades para todos,Diversidad,,
,,Empleo e inclusión de las personas con discapacidad,,
,,Formación y desarrollo de capacidades,,
,,Igualdad de género e igualdad de remuneración por un trabajo de igual valor,,
,,Medidas contra la violencia y el acoso en el lugar de trabajo,,
,Otros derechos laborales,Trabajo infantil,,
,,Trabajo forzoso,,
,,Privacidad,,
S2 Trabajadores de la cadena de valor,Condiciones de trabajo,Empleo seguro,,
,,Tiempo de trabajo,,
,,Salarios adecuados,,
,,Diálogo social,,
,,"Libertad de asociación, incluida la existencia de comités de empresa",,
,,Negociación colectiva,,
,,Conciliación laboral,,
,,Salud y seguridad,,
,Igualdad de trato y oportunidades para todos,Igualdad de género e igualdad de remuneración por un trabajo de igual valor,,
,,Formación y desarrollo de capacidades,,
,,Empleo e inclusión de las personas con discapacidad,,
,,Medidas contra la violencia y el acoso en el lugar de trabajo,,
,,Diversidad,,
,Otros derechos laborales,Trabajo infantil,,
,,Trabajo forzoso,,
,,Privacidad,,
