,etnomleB-zepóL anicnE nauJ,etnomleB-zepóL anicnE reivaJ,etnomleB-zepóL anicnE návI,añeP socraM otniP,zeñáB amitáF aícraG,asereT aíramatnaS aíraM ozroC,zelléT led aniraM larroC
Tipo de consejero,Ejecutivo,Ejecutivo,Ejecutivo,Independiente,Independiente,Independiente,Dominical
Experiencia de Gestión,,,,,,,
Gestión empresarial a primer nivel,X,X,X,X,X,X,X
Altos Cargos en la Administración y Función Pública,,,,X,X,,X
Experiencia en otros Consejos de Administración,,,,,,,
Funciones ejecutivas,X,X,X,X,X,X,X
Vocal Consejo / Comisiones,X,X,X,X,X,X,
Presidente Comisiones / consejero coordinador,,,,X,,X,
Sector,,,,,,,
Farmacéutico / sanitario,X,X,X,X,X,X,X
Tecnologías de la Información,,,,X,X,X,
Bancario y financiero,,X,,,,X,
Comunicación y media,,,,X,X,,
Energético,,,,X,X,,
Funcionales,,,,,,,
Conocimientos de gobierno corporativo,X,X,X,X,X,X,X
Conocimientos en materia de sostenibilidad,X,X,X,X,X,X,X
Análisis y evaluación estratégica de RRHH,X,X,X,X,X,X,X
Conocimientos el sector farmacéutico,X,X,X,X,X,X,X
"Conocimientos en gestión, contabilidad, auditoría y finanzas",X,X,X,X,X,X,X
Selección de consejeros y ejecutivos,X,X,X,X,X,X,X
Gestión de riesgos financieros y no financieros,X,X,X,X,X,X,X
Legal y Regulatorio,X,X,X,X,X,X,X
"Actividad académica, docencia e investigación",,,X,X,X,X,X
Diseño de políticas de retribución de consejeros y altos directivos,X,X,X,X,X,X,
Experiencia internacional,,,,,,,
Europa,X,X,X,X,X,X,X
Américas,X,X,X,X,X,X,X
Asia y otros,,,,X,X,,
