,,A 31 de diciembre de,
,Nota,2025,2024
Importe neto de la cifra de negocios Variación de existencias de productos terminados y en curso de fabricación Aprovisionamientos,5 y 22 23 23,743.483 (36.162) (225.295) 660 (141.093),763.749 57.851 (343.902) 648 (135.659)
Trabajos efectuados por el Grupo para activos no corrientes Gastos de personal,6 24,,
Otros gastos de explotación Amortizaciones,25 6 y 7 21 27 10,(138.076),(135.967)
,,(30.374),(28.015)
Imputación de subvenciones de inmovilizado no financiero y otras,,12.641,840
RESULTADO DE EXPLOTACIÓN,,185.784,179.545
,,,
Ingresos financieros Gastos financieros Deterioro y resultado por valoración de instrumentos financieros Diferencias de cambio,,1.087 (2.846) (608) (214),259 (2.350) 81 296
RESULTADO FINANCIERO,,(2.581),(1.714)
,,,
Participación en el resultado de negocios conjuntos y asociadas,,60,(141)
,,,
RESULTADO ANTES DE IMPUESTOS,,183.263,177.690
,,,
Impuesto sobre beneficios,28,(42.899),(40.814)
,,,
RESULTADO DEL EJERCICIO,,140.364,136.876
,,,
Atribuible a:,,,
- La sociedad dominante - Participaciones no dominantes,,140.442 (78),136.881 (5)
,,,
Ganancias por acción (básicas y diluidas) atribuibles a los accionistas de la Sociedad (en euros):,,,
- Básicas y diluidas,29,"2,75","2,67"
,,,
