,Nota,Al 31 de diciembre,
,,2024,2023
PATRIMONIO NETO,,60.284,89.322
"Fondos propios Capital Prima de emisión Reservas (Acciones y participaciones en patrimonio propias) Resultados de ejercicios anteriores Resultado del ejercicio Ajustes por cambio de valor Diferencias de conversión Subvenciones, donaciones y legados recibidos",14 14 15 15 15 16 17,59.283 3.074 87.636 7.032 (5.545) (108.460) 75.546 (28) (28) 1.029,87.975 3.241 87.636 7.032 (107.676) 85.671 12.071 (20) (20) 1.367
PASIVO NO CORRIENTE,,157.655,143.899
Deudas a largo plazo Deudas con entidades de crédito Otros pasivos financieros Deudas con empresas del grupo y asociadas a largo plazo Pasivos por impuesto diferido Periodificaciones a largo plazo,7 y 18 7 y 18 7 y 18 21 19,80.503 70.659 9.844 72.500 2.834 1.818,38.557 31.250 7.307 99.800 4.111 1.431
PASIVO CORRIENTE,,268.870,231.157
"Provisiones a corto plazo Deudas a corto plazo Deudas con entidades de crédito Otros pasivos financieros Deudas con empresas del grupo y asociadas a corto plazo Acreedores comerciales y otras cuentas a pagar Proveedores Proveedores, empresas del grupo y asociadas Acreedores varios Personal (remuneraciones pendientes de pago) Pasivos por impuesto corriente Otras deudas con las Administraciones Públicas",20 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 23 23,14.116 17.823 16.280 1.543 18.578 217.989 34.129 173.114 65 6.567 1.871 2.243,8.235 8.004 6.495 1.509 2.216 212.378 34.460 162.635 2.516 5.851 5.177 1.739 324
Periodificaciones a corto plazo,19,364,
,,,
TOTAL PATRIMONIO NETO Y PASIVO,,486.809,464.378
