Reported,,Pre-R&D costs,,,,,
H1 2024,H1 2023,H1 2024,H1 2023,% Growth,H1 2024,H1 2023,
329.3,380.8,329.3,380.8,-14 %,329.3,380.8,
0.2,0.2,0.2,0.2,19 %,0.2,0.2,
329.5,381.0,329.5,381.0,-14 %,329.5,381.0,
(133.9),(165.3),(133.9),(165.3),-19 %,(133.9),(165.3),
195.6,215.7,195.6,215.7,-9 %,195.6,215.7,
59.4 %,56.6 %,59.4 %,56.6 %,2.8 pp,59.4 %,56.6 %,
(12.2),(10.8),0.0,0.0,n.a.,(10.8),(10.8),
(113.5),(107.8),(113.5),(107.8),5 %,(113.5),(107.8),
(0.02),(0.01),(0.02),(0.01),69 %,(0.02),(0.01),
69.9,97.1,82.1,107.9,-24 %,71.3,97.1,
21.2 %,25.5 %,24.9 %,28.3 %,-3.4 pp,21.6 %,25.5 %,
56.5,85.2,68.6,96.0,-29 %,57.8,85.2,
17.1 %,22.4 %,20.8 %,25.2 %,-4.4 pp,17.6 %,22.4 %,
44.3,66.6,54.0,75.0,-28 %,45.4,66.6,
13.5 %,17.5 %,16.4 %,19.7 %,-3.3 pp,13.8 %,17.5 %,-3.7 pp
