,Nota,Ejercicio finalizado a 31 de diciembre de,
,,2016,2015
Resultado del ejercicio antes de impuestos Ajustes del resultado Cambios en el capital corriente Otros flujos de efectivo de las actividades de explotación,,31.797 2.686 4.026 (2.892),15.639 7.176 (1.025) (2.265)
Flujos de efectivo de las actividades de explotación,25,35.617,19.525
Pagos por inversiones Cobros por desinversiones,,(10.522) 1.725,(8.381) 799
Flujos de efectivo de las actividades de inversión,26,(8.797),(7.582)
Cobros y pagos por instrumentos de pasivo financiero Pagos por dividendos y remuneraciones de otros instr. de patrimonio Transacciones con acciones propias,,(9.560) (6.853) (541),6.334 (8.346) (5.148)
Flujos de efectivo de las actividades de financiación,27,(16.954),(7.160)
,,,
AUMENTO / DISMINUCIÓN NETA DEL EFECTIVO O EQUIVALENTES,,9.866,4.783
Efectivo o equivalentes al inicio del ejercicio Efectivo o equivalentes al final del ejercicio,13 13,27.142 37.008,22.359 27.142
