Ejercicio financiero 2024,Actividades económicas,aímonoxaT al núges selbigele sedadivitcA . A,)aímonoxat al a natsuja es euq( selbinetsos etnemlatneibmaoidem sedadivitcA .1.A,a ed natsuja etnemlatneibmaoidem soicogen )1.A( sedadivitca es )aímonoxat euq( ed nemuloV selbinetsos al,sarodatilicaf :selauc sal eD,nóicisnart :selauc sal eD,aímonoxat al a natsuja es on euq sedadivitca( selbinetsos etnemlatneibmaoidem on orep aímonoxat al núges selbigele sedadivitcA .2.A,setneidergni o )AFI( )*( sovitca savitca ed socituécamraf saicnatsus nóicacirbaF,ed *sotnemacidem nóicacirbaF,al euq )aímonoxat ed núges etnemlatneibmaoidem soicogen on sedadivitca( selbigele orep al )2.A( ed aímonoxat a natsuja nemuloV sedadivitca selbinetsos es on,al ed núges soicogen )2.A+1.A( selbigele ed aímonoxat nemuloV sedadivitca .A,aímonoxaT al núges selbigele on sedadivitcA . B,núges ed soicogen selbigele )B( aímonoxat ed on nemuloV sedadivitca al,Total
2024,Códigos,,,,,,,PPC 1.1,PPC 1.2,,,,,
,Volumen de negocios (€),,,-,-,-,,19.593.522,267.080.464,286.673.985,286.673.985,,477.075.014,763.749.000
,"Proporción del volumen de negocios, año 2024",,,0%,0%,0%,,"2,565 %","34,970 %","37,535 %","37,535 %",,"62,465 %",100%
Criterios de contribución sustancial,Mitigación del cambio climático,,,0%,0%,0%,,N/EL,N/EL,0%,0%,,,
,Adaptación al cambio climático,,,0%,0%,,,N/EL,N/EL,0%,0%,,,
,Agua,,,0%,0%,,,N/EL,N/EL,0%,0%,,,
,Contaminación,,,0%,0%,,,EL,EL,"37,535 %","37,535 %",,,
,Economía circular,,,0%,0%,,,N/EL,N/EL,0%,0%,,,
,Biodiversidad,,,S,0%,,,N/EL,N/EL,0%,0%,,,
"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"")",Mitigación del cambio climático,,,S,S,S,,,,,,,,
,Adaptación al cambio climático,,,S,S,S,,,,,,,,
,Agua,,,S,S,S,,,,,,,,
,Contaminación,,,S,S,S,,,,,,,,
,Economía circular,,,S,S,S,,,,,,,,
,Biodiversidad,,,S,S,S,,,,,,,,
,Garantía mínimas,,,S,S,S,,,,,,,,
,"Proporción del volumen de negocios que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2023",,,0%,0%,0%,,"2,747 %","33,265 %","36,012 %","36,012 %",,,
,Categoría actividad facilitadora,,,,F,,,,,,,,,
,Categoría actividad de transición,,,,,T,,,,,,,,
