"31 December, 2018",,,Note,,,,Amounts,,Adjust- ments,,,As reported,,
,,,,,,,without,,,,,,,
,,,,,,,adoption of,,,Adjust-,,,,
,"31 December, 2018",,,Note,,,IFRS 15,,,ments,,,As reported,
,,,,,,,,,,,,,,
ASSETS,,,,,,,,,,,,,,
,ASSETS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Non-current assets,,,,,,"148,696",,,-,,,"148,696",,
,Non-current assets,,,,,,"148,696",,,-,,,"148,696",
,,,,,,,,,,,,,,
Current assets,,,,,,"254,004",,,-,,,"254,004",,
,Current assets,,,,,,"254,004",,,-,,,"254,004",
,,,,,,,,,,,,,,
Total assets,,,,,,"402,700",,,-,,,"402,700",,
,,,,,,,,,,,,,,
Adoption of IFRS 15 had the following effects on liabilities:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"31 December, 2018",,,Note,,,,Amounts,,Adjust- ments,,,As reported,,
,,,,,,,without,,,,,,,
,,,,,,,adoption of,,,Adjust-,,,,
,"31 December, 2018",,,Note,,,IFRS 15,,,ments,,,As reported,
,,,,,,,,,,,,,,
EQUITY,,,,,,,,,,,,,,
,EQUITY,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total equity,,,,,,"287,472",,,-,,,"287,472",,
,Total equity,,,,,,"287,472",,,-,,,"287,472",
,,,,,,,,,,,,,,
LIABILITIES,,,,,,,,,,,,,,
Non-current liabilities,,,,,,"27,716",,,-,,,"27,716",,
Financial debt,,,,,,"16,589",,,-,,,"16,589",,
Deferred tax liabilities,,,,,,"1,243",,,-,,,"1,243",,
Contract liabilities,,,18,,,-,,,"6,263",,,"6,263",,
Deferred income,,,19,,,"9,884",,,"(6,263)",,,"3,621",,
,Deferred income,,,19,,,"9,884",,,"(6,263)",,,"3,621",
,,,,,,,,,,,,,,
Current liabilities,,,,,,"87,512",,,-,,,"87,512",,
Financial debt,,,,,,"17,635",,,-,,,"17,635",,
Trade and other payables,,,16,,,"60,938",,,"7,227",,,"68,165",,
Contract liabilities,,,18,,,-,,,"1,159",,,"1,159",,
Deferred income,,,19,,,"1,712",,,"(1,159)",,,553,,
Provisions for other liabilities and charges,,,20,,,"7,227",,,"(7,227)",,,-,,
,Provisions for other liabilities and charges,,,20,,,"7,227",,,"(7,227)",,,-,
,,,,,,,,,,,,,,
Total equity and liabilities,,,,,,"402,700",,,-,,,"402,700",,
