,31 de diciembre de 2022,,,31 de diciembre de 2021,
Estado del resultado global resumido,"Alentia Biotech, S.L.","Enervit Nutrition, S.L.",,"Alentia Enervit Biotech, S.L. Nutrition, S.L.",
,,,,,
Importe neto de la cifra de negocio,— — — — —,7.377 (6.027) (401) (542) (201),,— — —,7.442 (5.929) (375)
Coste de ventas,,,,,
Gastos de personal,,,,,
Otros gastos de explotación,,,,(4) (565),
Amortizaciones,,,,—,(209)
Resultado de explotación,—,206,,—,364
Resultado financiero,— —,,,— —,
Impuesto sobre beneficios,—,192,,— —,
Resultado del periodo,—,398,,—,364
,,,,,
Otro resultado global,— —,,,,
,,,,,
TOTAL RESULTADO GLOBAL,—,398,,—,364
,,,,,
Dividendos recibidos de negocios conjuntos,— —,,,,
