,Marcas comerciales y Aplicaciones Desarrollo licencias informáticas Total,,,
Saldo al 01.01.24,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.929 13.791 67.619,,,
,—,(494),—,(494)
,(2.296) (16.617) (12.468) (31.381),,,
Valor neto contable 01.01.24,6.603 27.818 1.323 35.744,,,
Altas Deterioro Dotación a la amortización,—,—,1.393 1.393,
,—,—,—,—
,(442) (2.373) (453) (3.268),,,
Saldo al 31.12.24,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.929 15.184,,,69.012 (494) (34.616)
,—,(494),—,
,(2.738) (18.960) (12.918),,,
Valor neto contable 31.12.24,6.161 25.475 2.266 33.902,,,
Altas,— —,,3.100 3.100,
Bajas,—,(34) (1) (35),,
Bajas de amortización,—,25 — 25,,
Dotación a la amortización,(442) (1.949) (651),,,(3.042)
Saldo al 31.12.24,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.895 18.283 72.077,,,
,—,(494),—,(494)
,(3.180) (20.884) (13.569) (37.633),,,
Valor neto contable 31.12.24,5.719 23.517 4.714 33.950,,,
