,,Finalizado a,31 de diciembre
,Nota,2023,2022
,,,44.680 858 128.321 (42.715)
Resultado del ejercicio antes de impuestos,,10.111 14.635 69.389 (39.931),
Ajustes del resultado,,,
Cambios en el capital corriente,,,
Otros flujos de efectivo de las actividades de explotación,,,
Flujos de efectivo generados / (utilizados) de las actividades de explotación,25,54.204,131.144
,,,(12.242) 2.152
Pagos por inversiones,,(8.876) 58.631,
Cobros por desinversiones,,,
Flujos de efectivo generados / (utilizados) de las actividades de inversión,26,49.755,(10.090)
,,,58.444 (51.007) (99.242)
Cobros y pagos por instrumentos de pasivo financiero,,(7.839) (69.049) (81.261),
Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio,,,
Transacciones con acciones propias,,,
Flujos de efectivo generados / (utilizados) de las actividades de financiación,27,(158.149),(91.805)
,,,
AUMENTO / DISMINUCIÓN NETA DEL EFECTIVO O EQUIVALENTES,,(54.190),29.249
Efectivo o equivalentes al inicio del ejercicio,13 13,67.213 13.023,37.964 67.213
Efectivo o equivalentes al final del ejercicio,,,
