,Miles de euros
,2023 2022
Cobros y pagos por instrumentos de pasivo financiero:,
a) Emisión,
- Deudas con empresas del grupo y asociadas (Nota 31 h),19.800 734
- Otras deudas (Nota 18),
,20.534
b) Devolución y amortización,
- Deudas con entidades de crédito,(6.429) (19.650) (1.908) (386)
- Deudas con empresas del grupo y asociadas,
- Otras deudas,
- Pago de intereses,
,(28.373)
Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio:,
- Dividendos (Nota 15 b) y d),(69.049) (81.261)
- Transacciones con acciones propias (Nota 15 c),
,(150.310)
Flujos de efectivo generados / (utilizados) de las actividades de financiación,(158.149)
