,Thousand euros
,2024 2023
Pre-tax profit for the year,"73,859"
Adjustment to the profit,
"– Amortisation/depreciation of intangible assets/property, plant & equipment","9,408 (65,566) 5,043 (25) — 190 5,881 (1,205)"
– Finance income (Note 24),
– Finance costs (Note 24),
– Foreign exchange differences,
– Adjustments for change in value of financial instruments,
– Gain or loss on derecognition or disposal of financial instruments,
– Net change in provisions (Note 20),
– Grants for non-financial assets and distribution licence revenue,
– Other revenue and expenses,"1,655"
,"29,240"
Changes in working capital,
– Inventories,"(12,246)"
– Debtors and other receivables,"6,277 72,624"
– Creditors and other payables,
,"66,655"
Other cash flows from operating activities,
– Income tax received (paid),"(43,251) 793 (42,458)"
– Other amounts received (paid) (Note 19),
,
Cash flows generated (used) in operating activities,"53,437"
