Políticas internas asociadas,
"Además de la normativa interna de ROVI que se compone de los Estatutos Sociales, el Reglamento de la Junta General de Accionistas, el Reglamento del Consejo de Administración, los Reglamentos de las Comisiones y el Reglamento Interno de Conducta en los mercados de valores, el Grupo cuenta con otras políticas internas asociadas y, entre otras, las siguientes:",
Política de Remuneraciones de los Consejeros.,
Política relativa a la composición del Consejo de Administración.,
Política de Sostenibilidad en materia Medioambiental y Social.,
Política de Operaciones Vinculadas e Intragrupo.,
"Política relativa a la comunicación de información económico-financiera, no financiera y de comunicación y contactos con accionistas, inversores institucionales y asesores de voto.",
Política de Retribuciones de los Altos Directivos.,
Política Antisoborno y Anticorrupción.,
Política de Selección de Proveedores.,
Política de Pago a Proveedores.,
,"Plan de Sucesión del Presidente, del Primer Ejecutivo y de la Alta Dirección."
,Política del sistema interno de información y defensa del informante (Canal Ético).
,Política de Normas de uso de los Recursos TIC Grupo Rovi.
,Política cumplimiento normativo.
,Política de Seguridad de la Información.
,Política de Competencia.
,Política de Acceso a los Medicamentos.
,Política de Animal Testing.
,Política de Prevención de conflicto de interés
