PASIVO Y PATRIMONIO NETO,,PERIODO ACTUAL 31/12/2016,PERIODO ANTERIOR 31/12/2015
A) PATRIMONIO NETO (A.1 + A.2 + A.3 ),1195,183.406,164.785
A.1) FONDOS PROPIOS,1180,183.409,164.787
1. Capital,1171,3.000,3.000
a) Capital escriturado,1161,3.000,3.000
b) Menos: Capital no exigido,1162,,
2. Prima de emisión,1172,,
3. Reservas,1173,600,600
4. Menos: Acciones y participaciones en patrimonio propias,1174,(8.701),(8.112)
5. Resultados de ejercicios anteriores,1178,162.421,149.490
6. Otras aportaciones de socios,1179,,
7. Resultado del ejercicio atribuido a la entidad dominante,1175,26.089,19.809
8. Menos: Dividendo a cuenta,1176,,
9. Otros instrumentos de patrimonio neto,1177,,
A.2) OTRO RESULTADO GLOBAL ACUMULADO,1188,(3),(2)
1. Partidas que no se reclasifican al resultado del ejercicio,1186,,
2. Partidas que pueden reclasificarse posteriormente al resultado del ejercicio,1187,(3),(2)
a) Activos financieros disponibles para la venta,1181,(3),(2)
b) Operaciones de cobertura,1182,,
c) Diferencias de conversión,1184,,
d) Otros,1183,,
PATRIMONIO NETO ATRIBUIDO A LA ENTIDAD DOMINANTE (A.1 + A.2),1189,183.406,164.785
A.3) INTERESES MINORITARIOS,1193,,
B) PASIVO NO CORRIENTE,1120,28.000,39.836
1. Subvenciones,1117,,
2. Provisiones no corrientes,1115,,
3. Pasivos financieros no corrientes:,1116,20.828,32.631
a) Deudas con entidades de crédito y obligaciones u otros valores negociables,1131,10.940,20.932
b) Otros pasivos financieros,1132,9.888,11.699
4. Pasivos por impuesto diferido,1118,1.640,1.344
5. Otros pasivos no corrientes,1135,5.532,5.861
C) PASIVO CORRIENTE,1130,76.442,59.226
1. Pasivos vinculados con activos no corrientes mantenidos para la venta,1121,,
2. Provisiones corrientes,1122,2.878,2.497
3. Pasivos financieros corrientes:,1123,12.966,10.147
a) Deudas con entidades de crédito y obligaciones u otros valores negociables,1133,9.991,7.247
b) Otros pasivos financieros,1134,2.975,2.900
4. Acreedores comerciales y otras cuentas a pagar:,1124,59.852,45.742
a) Proveedores,1125,50.221,36.982
b) Otros acreedores,1126,9.631,8.760
c) Pasivos por impuesto corriente,1127,,
5. Otros pasivos corrientes,1136,746,840
TOTAL PASIVO Y PATRIMONIO NETO (A + B + C ),1200,287.848,263.847
