,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,30/06/2024,31/12/2023
A) NON-CURRENT ASSETS,1040,316.544,290.553
1. Intangible assets:,1030,33.032,33.902
a) Goodwill,1031,,
b) Other intangible assets,1032,33.032,33.902
"2. Property, plant and equipment",1033,261.214,253.652
3. Investment property,1034,,
4. Investments accounted for using the equity method,1035,19.636,567
5. Non-current financial assets,1036,-,24
a) At fair value with changes in net income,1047,,
"Of which ""Designated upon initial recognition""",1041,,
b) At fair value with changes in other comprehensive income,1042,,-
"Of which ""Designated upon initial recognition""",1043,,-
c) At amortised cost,1044,-,24
6. Non-current derivatives,1039,,
a) Hedging derivatives,1045,,
b) Other,1046,,
7. Deferred tax assets,1037,2.597,2.343
8. Other non-current assets,1038,65,65
B) CURRENT ASSETS,1085,540.781,509.331
1. Non-current assets held for sale,1050,,
2. Inventories,1055,355.486,337.968
3. Trade and other receivables,1060,136.638,143.314
a) Trade receivables for sale of goods and services,1061,120.834,124.550
b) Other receivables,1062,15.769,18.764
c) Current tax assets,1063,35,-
4. Current financial assets,1070,-,
a) At fair value with changes in net income,1080,,
"Of which ""Designated upon initial recognition""",1081,,
b) At fair value with changes in other comprehensive income,1082,,
"Of which ""Designated upon initial recognition""",1083,,
c) At amortised cost,1084,,
5.Current derivatives,1076,-,
a) Hedging derivatives,1077,,
b) Other,1078,-,
6. Other current assets,1075,4.079,2.727
7. Cash and cash equivalents,1072,44.578,25.322
TOTAL ASSETS (A+B),1100,857.325,799.884
