,,A 31 de diciembre de,
,Nota,2022,2021
Resultado del ejercicio,,199.665,153.077
Partidas que pueden reclasificarse con posterioridad al resultado,11,,
,,19,1
Cambios en el valor de valores de renta variable,,(4),1
Diferencias de conversión Efecto impositivo,,22 1,— —
,,,
"Otro resultado global del ejercicio, neto de impuestos",,19,1
Resultado global total del ejercicio,,199.684,153.078
,,,
Atribuible a: - Propietarios de la sociedad dominante - Participaciones no dominantes,,,
,,199.688 (4),153.078 —
