,,CURRENT PERIOD,PREVIOUS PERIOD
,,31/12/2018,31/12/2017
A) PROFIT/(LOSS) FOR PERIOD (from Income Statement),0305,15.581,18.673
B) INCOME OR EXPENSES CREDITED OR CHARGED DIRECTLY TO EQUITY:,0310,828,286
1. Measurement of financial instruments,0320,(1),1
a) Available-for-sale financial assets,0021,(1),1
b) Other income /(expenses),0323,,
2. Cash flow hedges,0330,,
"3. Grants, donations and legacies received",0340,1.105,381
4. Actuarial gains and losses and other adjustments,0344,,
5. Other income or expenses credited or charged directly to equity,0343,,
6. Tax effect,0345,(276),(96)
C) TRANSFERS TO PROFIT AND LOSS:,0350,(1.190),(700)
1. Measurement of financial instruments,0355,,
a) Available-for-sale financial assets,0356,,
b) Other income /(expenses),0358,,
2. Cash flow hedges,0360,,
"3. Grants, donations and legacies received",0366,(1.586),(935)
4. Other income or expenses credited or charged directly to equity,0365,,
5. Tax effect,0370,396,235
TOTAL RECOGNIZED INCOME/(EXPENSES) (A+B+C),0400,15.219,18.259
