,,At 31 December,
,Note,2019,2018
NON-CURRENT ASSETS,,"138,744","99,549"
"Intangible assets Property, plant and equipment Non-current investments in Group & associated companies Equity instruments",5 6 8 & 9,"41,587 46,742 42,826 13,824 29,002 1,482 63 1,419 6,107","31,618 41,284 14,379 12,459 1,920 1,480 63 1,417 10,788"
Credits to Group companies,31,,
Non-current financial investments Equity instruments,7 & 11,,
Other financial assets,7 & 10,,
Deferred tax assets,21,,
CURRENT ASSETS,,"276,732","314,411"
Inventories Trade and other receivables,12,"67,749 157,608 55,005 87,345 73 - 10,089 5,096 55 55 - - 3 51,317","37,195 193,373 37,239 147,499 118 101 3,414 5,002 36 36 17 17 3 83,787"
"Trade receivables for sales of goods and services Trade receivables, Group & associated companies Sundry debtors Employees",7 & 10 7 & 10 7 & 10 7 & 10,,
Current tax assets,23,,
Other credits with public authorities,23,,
Current investments in Group & associated companies Credits to companies Current financial investments Derivatives Current accruals and prepayments,7 & 10,,
Cash and cash equivalents,7 & 13,,
,,,
TOTAL ASSETS,,"415,476","413,960"
