Instrumentos financieros por categoría,2024 2023,
ACTIVOS FINANCIEROS Activos financieros no corrientes,,
,65 89,
Cuentas financieras a cobrar (Nota 13) Valores de renta variable (Nota 11),65 65,
,—,24
Activos financieros corrientes,144.270 151.457,
Clientes y otras cuentas a cobrar (Nota 13) Activos financieros a coste amortizado (Nota 32) Efectivo y equivalentes al efectivo (Nota 14),116.857 126.135,
,227,—
,27.186 25.322,
PASIVOS FINANCIEROS Pasivos financieros no corrientes,,
,92.538 53.673,
Pasivos contractuales (Nota 20) Deuda financiera (Nota 18),1.819 1.431,
,90.719,52.242
Pasivos financieros corrientes,146.201 187.998,
Pasivos contractuales (Nota 20) Deuda financiera (Nota 18) Proveedores y otras cuentas a pagar (Nota 17),4.803 39.044 23.691 13.185 117.707 135.769,
