,,,,Technical,
,,,,facilities &,
,,,,"other property,",
,,,Land and,,
,,,,plant &,
,,,buildings,,Total
,,,,equipment,
Balance at 01.01.20,,,,,
Cost,,,"7,284","81,467","88,751"
Accumulated depreciation,,,"(1,416)","(40,593)","(42,009)"
Net carrying amount 01.01.20,,,"5,868","40,874","46,742"
Additions,,,—,"10,915","10,915"
Retirements,,,—,(76),(76)
Elimination from depreciation,,,—,56,56
Depreciation charge,,,(136),"(5,371)","(5,507)"
Balance at 31.12.20,,,,,
Cost,,,"7,284","92,306","99,590"
Accumulated depreciation,,,"(1,552)","(45,908)","(47,460)"
Net carrying amount 31.12.20,,,"5,732","46,398","52,130"
Additions,,,7,"6,708","6,715"
Retirements,,,—,(165),(165)
Elimination from depreciation,,,—,124,124
Depreciation charge,,,(136),"(6,272)","(6,408)"
Balance at 31.12.21,,,,,
Cost,,,"7,291","98,849","106,140"
Accumulated depreciation,,,"(1,688)","(52,056)","(53,744)"
Net carrying amount 31.12.21,,,"5,603","46,793","52,396"
