,Marcas comerciales y Aplicaciones Desarrollo licencias informáticas Total,,,
Saldo al 01.01.22,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.929 13.122 66.950,,,
,—,(492),—,(492)
,(1.854) (14.170) (11.876) (27.900),,,
Valor neto contable 01.01.22,7.045 30.267 1.246 38.558,,,
Altas Deterioro Dotación a la amortización,,,669 669,
,—,(2),—,(2)
,(442) (2.447) (592) (3.481),,,
Saldo al 31.12.22,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.929 13.791,,,67.619 (494) (31.381)
,—,(494),—,
,(2.296) (16.617) (12.468),,,
Valor neto contable 31.12.22,6.603 27.818 1.323 35.744,,,
Altas,— —,,1.393 1.393,
Bajas de amortización,—,30 3 33,,
Dotación a la amortización,(442) (2.373) (453),,,(3.268)
Saldo al 31.12.23,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.929 15.184 69.012,,,
,—,(494),—,(494)
,(2.738) (18.960) (12.918) (34.616),,,
Valor neto contable 31.12.23,6.161 25.475 2.266 33.902,,,
