,Thousand euros,
,2021,2020
Amounts received from and paid for financial liability instruments,,
a) Issue,,
- Other debt (Note 18),"1,340","1,430"
,"1,340","1,430"
b) Reimbursement and repayment,,
- Bank borrowings,(179),"(7,116)"
- Debt with Group and associated companies (Note 31 g),"5,841","(3,135)"
- Other debt,"(1,731)","(2,230)"
- Interest payments,(288),(299)
,"3,643","(12,780)"
,,
Dividend payments and remuneration of other equity instruments,,
- Dividends (Notes 15 b) & 15 d)),"(21,132)","(9,700)"
- Transactions with treasury shares (Note 15 c),"(36,457)",233
,"(57,589)","(9,467)"
Cash flows generated (used) in financing activities,"(52,606)","(20,817)"
