Ejercicio financiero 2024,Actividades económicas,aímonoxaT al núges selbigele sedadivitcA . A,)aímonoxat al a natsuja es euq( selbinetsos etnemlatneibmaoidem sedadivitcA .1.A,"nóicaraper acitégrene y otneiminetnam aicneicife ed sopiuqe ,nóicalatsnI ed","nóicaraper solucíhev ed sazalp )soicifide arap sal y sol otneiminetnam ne agracer a y( saxena soicifide ed otneimacrapa senoicatse ,nóicalatsnI ne socirtcéle ed","nóicaraper aicneicife arap sovitisopsid soicifide y al otneiminetnam ralortnoc sol y ed sotnemurtsni y acitégrene raluger ,nóicalatsnI ,ridem ed","nóicaraper elbavoner y otneiminetnam aígrene ed saígoloncet ,nóicalatsnI ed",euq( )1.A( selbinetsos sedadivitca )aímonoxat etnemlatneibmaoidem ed al xEpaC a natsuja es,sarodatilicaf :selauc sal eD,nóicisnart :selauc sal eD
2024,Códigos,,,CCM 7.3,CCM 7.4,CCM 7.5,CCM 7.6,,,
,CapEx (€),,,690.912,8.591,90.517,42.336,832.357,832.357,-
,Proporción CapEx 2024,,,"1,054 %","0,013 %","0,138 %","0,065 %","1,269 %","1,269 %",— %
Criterios de contribución sustancial,Mitigación del cambio climático,,,S,S,S,S,"1,269 %","1,269 %",— %
,Adaptación al cambio climático,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Agua,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Contaminación,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Economía circular,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
,Biodiversidad,,,N/EL,N/EL,N/EL,N/EL,0%,0%,
"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"")",Mitigación del cambio climático,,,S,S,S,S,S,S,S
,Adaptación al cambio climático,,,S,S,S,S,S,S,S
,Agua,,,S,S,S,S,S,S,S
,Contaminación,,,S,S,S,S,S,S,S
,Economía circular,,,S,S,S,S,S,S,S
,Biodiversidad,,,S,S,S,S,S,S,S
,Garantía mínimas,,,S,S,S,S,S,S,S
,"Proporción CapEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2023",,,"0,581 %","0,008 %","0,099 %","1,457 %","2,145 %","2,145 %",0%
,Categoría actividad facilitadora,,,F,F,F,F,,F,
,Categoría actividad de transición,,,,,,,,,T
