,,CURRENT PERIOD,,,,
,,Significant share- holders,Directors and senior manage- ment,"Persons, companies or entities belonging to the group",Other related parties,Total
1) Trade and other receivables,2341,,,,,0
2) Loans and credits granted,2342,,,,,0
3) other collection rights,2346,,,,,0
TOTAL DEBIT BALANCES (1+2+3),2347,0,0,0,0,0
4) Trade and other payables,2352,,,,230,230
5) Loans and credits received,2353,,,,,0
6) Other payment obligations,2355,,1.794,,,1.794
TOTAL CREDIT BALANCES (4+5+6),2358,,,,,2.024
